ESS,RT,RT_variability,Eini,Eini_variability
2,80.471895621705,0,10,0
2.07,81.19133249431,0,10.5,0
2.15,81.62137153294,0,11,0
2.22,82.2419919742508,0,11.5,0
2.29,82.8177416110926,0,12,0
2.37,83.1419344580608,2.27191940703651e-28,12.5,0
2.44,83.6475659078213,0,13,0
2.51,84.1203466150346,0,13.5,0
2.58,84.5633965340866,0,14,0
2.65,84.9794504714199,0,14.5,0
2.72,85.3709160397152,0,15,0
2.79,85.7399214045963,2.27191940703651e-28,15.5,0
2.86,86.088354870401,2.27191940703651e-28,16,0
2.93,86.4178978938779,2.27191940703651e-28,16.5,0
3,86.7300527694053,2.27191940703651e-28,17,0
3.07,87.0261659665181,0,17.5,0
3.14,87.3074478988001,2.27191940703651e-28,18,0
3.21,87.5749897471177,2.27191940703651e-28,18.5,0
3.28,87.8297778385194,2.27191940703651e-28,19,0
3.35,88.0727059866363,2.27191940703651e-28,19.5,0
3.42,88.3045861239739,0,20,0
3.49,88.5261574965013,0,20.5,0
3.56,88.7380946429742,0,21,0
3.62,89.0789454647969,2.27191940703651e-28,21.5,0
3.69,89.270799765294,0,22,0
