ESS,RT,RT_variability,Eini,Eini_variability
3.1425,87.2676548206946,1.07045218705013e-25,18,0
3.1425,87.2472054305665,0.658116307853015,18,0.5
3.14,87.2243493674287,2.49148459907249,18,1
3.1475,87.2066957040639,6.02577068077955,18,1.5
3.1475,87.1802193271491,10.1736596893945,18,2
3.145,87.1033920490809,16.7634785079152,18,2.5
3.125,86.9644909482136,23.2686084832919,18,3
3.1625,87.0354752594679,31.5406353095458,18,3.5
3.155,86.9624204270257,39.2630681346461,18,4
3.1325,86.7240415854045,51.7929793576214,18,4.5
3.135,86.5944938101536,72.8332004584943,18,5
3.13,86.4436250675828,84.6743042585515,18,5.5
3.1625,86.5048479884541,91.5316401545068,18,6
3.13,86.2201320119662,111.375308731732,18,6.5
3.0825,85.781608018183,137.186744331252,18,7
3.17,86.0456978797776,151.834983727655,18,7.5
3.105,85.5411714770677,172.129953918636,18,8
3.135,85.471449111337,200.945335885212,18,8.5
3.105,85.0540314970528,233.956693678834,18,9
3.18,85.1283163416732,268.924150849582,18,9.5
3.0625,84.1313752145083,323.777925969728,18,10
