ESS,RT,RT_variability,Eini,Eini_variability
87.25,87.25,0,18,0
87.25,87.25,0,18,0.5
87.25,87.25,0,18,1
87.25,87.25,0,18,1.5
87.25,87.25,0,18,2
87.225,87.2249999999992,6.5744785552474e-25,18,2.5
87.125,87.125,0,18,3
87.25,87.25,0,18,3.5
87.2,87.1999999999997,1.07045218705013e-25,18,4
87.075,87.0749999999997,1.07045218705013e-25,18,4.5
87.025,87.0250000000008,6.3458186362745e-25,18,5
86.975,86.9749999999992,6.3458186362745e-25,18,5.5
87.075,87.0749999999997,1.07045218705013e-25,18,6
86.9,86.9000000000008,6.3458186362745e-25,18,6.5
86.625,86.625,0,18,7
86.95,86.9499999999997,1.07045218705013e-25,18,7.5
86.625,86.625,0,18,8
86.675,86.6750000000003,9.79392927282161e-26,18,8.5
86.45,86.4499999999997,8.92380745726101e-26,18,9
86.7,86.6999999999997,9.79392927282161e-26,18,9.5
86.05,86.0500000000003,8.92380745726101e-26,18,10
